nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
2050,2196.26,2165.83,2128.95,4283.05,4447.86,8752.52,8948.8,3.77619,2.16954,0.593966,-0.121216,-0.874178,265.071,0.992444
2048.11,2184.46,2156,2124.8,3207.36,3853.21,7191.51,8568.94,3.88023,1.95289,0.424237,-0.121216,-1.02147,265.071,0.615424
2052.85,2193.9,2154.9,2120.64,4163.66,3779.03,8588.21,8262.3,3.88023,2.32119,0.513143,-0.192494,-0.534285,265.159,-0.641307
2053.8,2198.62,2162.55,2131.03,3422.96,4079.25,8944.78,9768.04,3.73457,2.12621,0.521225,-0.109336,-1.23673,265.248,-3.12335
2054.75,2189.18,2159.28,2131.03,2572.15,2578.17,7697.61,10159.4,3.89064,2.08288,0.222178,-0.144975,-1.16875,265.248,-1.89804
2052.85,2190.36,2157.09,2121.68,4281.9,2989.66,9480.45,9864.16,3.81781,2.33202,0.391908,-0.133095,-0.602264,265.248,1.84074
2052.85,2195.08,2163.65,2129.99,4644.71,3838.15,8718.02,9596.41,3.77619,2.26703,0.39999,-0.00241929,-1.51998,265.336,-1.42676
2058.55,2192.72,2161.46,2129.99,2688.06,2698.71,7191.51,8658.19,3.81781,2.12621,0.408072,-0.216253,-1.31604,265.336,0.992444
2054.75,2195.08,2161.46,2120.64,3909.8,3417.38,8070.61,6909.88,3.73457,2.12621,0.480813,-0.144975,-0.534285,265.425,-0.201451
2049.06,2196.26,2164.74,2132.07,4123.09,4014.34,7347.61,7234.82,3.797,2.10454,0.26259,-0.0736971,-1.51998,265.425,1.02386
2061.4,2196.26,2164.74,2135.19,3049.71,3187.87,6945.03,8342.39,3.97387,2.26703,0.432319,-0.204373,-1.31604,265.513,-1.89804
2058.55,2197.44,2164.74,2124.8,4678.32,4426.99,7766.62,7452.21,3.72416,2.21287,0.181767,-0.180614,-0.602264,265.513,-0.264288
2048.11,2195.08,2165.83,2132.07,3762.6,4501.18,6161.23,7012.85,3.76578,2.13704,0.133273,-0.0974564,-1.51998,265.602,-0.641307
2058.55,2199.8,2164.74,2138.31,4155.54,4050.27,6688.69,7761.15,4.19237,2.39701,0.319167,-0.31129,-1.10077,265.69,0.175568
2057.6,2202.16,2172.39,2135.19,4433.74,4697.07,8502.76,7962.52,3.97387,2.25619,0.375743,-0.144975,-1.16875,265.69,-1.45818
